cell_id,Dr. 123 Kid,Dr. Do Little,Dr. Scrubs
1000871,Type4,Type5,Type5
1000872,Type4,Type5,Type5
1000873,Type4,Type3,Type3
1000874,Type4,Type3,Type3
1000875,Type4,Type5,Type5
1000876,Type1,Type2,Type5
1000877,Type4,Type5,Type5
1000878,Type4,Type5,Type5
1000879,Type4,Type2,Type2
1000880,Type4,Type3,Type3
1000881,Type4,Type3,Type3
1000882,Type4,Type3,Type3
1000883,Type1,Type2,Type5
1000884,Type4,Type5,Type5
1000885,Type4,Type5,Type5
1000886,Type4,Type3,Type3
1000887,Type4,Type5,Type5
1000888,Type4,Type5,Type5
1000889,Type4,Type5,Type5
1000890,Type4,Type3,Type3
1000891,Type6,Type5,Type6
1000892,Type4,Type5,Type5
1000893,Type4,Type3,Type3
1000894,Type4,Type5,Type5
1000895,Type1,Type2,Type5
1000896,Type4,Type5,Type5
1000897,Type4,Type4,Type3
1000898,Type4,Type5,Type5
1000899,Type4,Type5,Type5
1000900,Type4,Type5,Type5
1000901,Type4,Type3,Type3
1000902,Type4,Type5,Type5
1000903,Type9,Type9,Type9
1000904,Type4,Type5,Type5
1000905,Type4,Type5,Type5
1000906,Type4,Type5,Type5
1000907,Type1,Type2,Type2
1000908,Type4,Type5,Type5
1000909,Type4,Type5,Type5
1000910,Type4,Type2,Type5
1000911,Type4,Type5,Type5
1000912,Type4,Type3,Type3
1000913,Type4,Type5,Type5
1000914,Type4,Type2,Type5
1000915,Type4,Type3,Type3
1000916,Type4,Type3,Type3
1000917,Type4,Type5,Type5
1000918,Type6,Type5,Type6
1000919,Type4,Type6,Type5
1000920,Type4,Type5,Type5
1000921,Type4,Type5,Type5
1000922,Type4,Type5,Type5
1000923,Type4,Type3,Type3
1000924,Type4,Type2,Type2
1000925,Type4,Type5,Type5
1000926,Type4,Type5,Type5
1000927,Type4,Type5,Type5
1000928,Type4,Type3,Type3
1000929,Type4,Type5,Type5
1000930,Type4,Type5,Type5
1000931,Type4,Type5,Type5
1000932,Type4,Type5,Type5
1000933,Type4,Type5,Type5
1000934,Type4,Type3,Type3
1000935,Type4,Type2,Type5
1000936,Type4,Type6,Type5
1000937,Type4,Type5,Type5
1000938,Type4,Type3,Type3
1000939,Type4,Type5,Type5
1000940,Type4,Type5,Type5
1000941,Type4,Type5,Type5
1000942,Type4,Type3,Type3
1000943,Type4,Type5,Type5
1000944,Type4,Type5,Type5
1000945,Type4,Type3,Type3
1000946,Type1,Type2,Type5
1000947,Type4,Type5,Type5
1000948,Type4,Type5,Type5
1000949,Type2,Type5,Type5
1000950,Type4,Type5,Type5
1000951,Type4,Type4,Type5
1000952,Type4,Type5,Type5
1000953,Type4,Type5,Type5
1000954,Type4,Type3,Type3
1000955,Type4,Type5,Type5
1000956,Type3,Type3,Type3
1000957,Type4,Type5,Type5
1000958,Type4,Type5,Type5
1000959,Type4,Type5,Type5
1000960,Type4,Type5,Type5
1000961,Type4,Type5,Type5
1000962,Type4,Type3,Type3
1000963,Type4,Type6,Type5
1000964,Type4,Type5,Type5
1000965,Type4,Type5,Type5
1000966,Type4,Type3,Type3
1000967,Type4,Type5,Type5
1000968,Type4,Type5,Type5
1000969,Type4,Type2,Type5
1000970,Type4,Type5,Type5
1000971,Type1,Type2,Type2
1000972,Type4,Type3,Type3
1000973,Type4,Type5,Type5
1000974,Type9,Type9,Type9
1000975,Type4,Type5,Type5
1000976,Type4,Type5,Type5
1000977,Type4,Type5,Type5
1000978,Type4,Type3,Type3
1000979,Type4,Type6,Type6
1000980,Type4,Type6,Type5
1000981,Type3,Type3,Type3
1000982,Type4,Type5,Type5
1000983,Type3,Type3,Type3
1000984,Type4,Type3,Type3
1000985,Type4,Type5,Type5
1000986,Type4,Type5,Type5
1000987,Type4,Type4,Type5
1000988,Type4,Type5,Type5
1000989,Type3,Type3,Type3
1000990,Type4,Type3,Type3
1000991,Type6,Type6,Type6
1000992,Type4,Type5,Type5
1000993,Type4,Type5,Type5
1000994,Type4,Type5,Type5
1000995,Type4,Type5,Type5
1000996,Type4,Type5,Type5
1000997,Type6,Type6,Type6
1000998,Type4,Type5,Type5
1000999,Type4,Type5,Type5
1001000,Type4,Type2,Type5
1001001,Type4,Type9,Type5
1001002,Type3,Type3,Type3
1001003,Type4,Type5,Type2
1001004,Type4,Type5,Type5
1001005,Type6,Type6,Type5
1001006,Type4,Type5,Type5
1001007,Type4,Type3,Type3
1001008,Type4,Type2,Type5
1001009,Type3,Type3,Type3
1001010,Type4,Type5,Type5
1001011,Type4,Type5,Type5
1001012,Type4,Type5,Type5
1001013,Type4,Type5,Type5
1001014,Type4,Type5,Type5
1001015,Type4,Type5,Type5
1001016,Type4,Type3,Type3
1001017,Type4,Type3,Type3
1001018,Type4,Type5,Type5
1001019,Type4,Type2,Type5
1001020,Type4,Type5,Type5
1001021,Type4,Type5,Type5
1001022,Type4,Type5,Type5
1001023,Type3,Type3,Type3
1001024,Type4,Type5,Type5
1001025,Type4,Type5,Type5
1001026,Type4,Type5,Type5
1001027,Type4,Type6,Type5
1001028,Type2,Type2,Type5
1001029,Type4,Type5,Type5
1001030,Type4,Type5,Type5
1001031,Type6,Type6,Type6
1001032,Type4,Type5,Type5
1001033,Type4,Type5,Type5
1001034,Type6,Type6,Type5
1001035,Type4,Type5,Type5
1001036,Type4,Type5,Type5
1001037,Type4,Type5,Type5
1001038,Type4,Type5,Type5
1001039,Type4,Type3,Type3
1001040,Type4,Type6,Type6
1001041,Type4,Type5,Type2
1001042,Type4,Type5,Type5
1001043,Type4,Type5,Type5
1001044,Type4,Type5,Type5
1001045,Type4,Type6,Type6
1001046,Type4,Type5,Type5
1001047,Type4,Type5,Type5
1001048,Type4,Type5,Type5
1001049,Type4,Type5,Type5
1001050,Type4,Type5,Type5
1001051,Type4,Type3,Type3
1001052,Type4,Type5,Type5
1001053,Type6,Type6,Type5
1001054,Type4,Type5,Type5
1001055,Type4,Type5,Type5
1001056,Type1,Type9,Type5
1001057,Type3,Type3,Type3
1001058,Type4,Type6,Type6
1001059,Type4,Type5,Type5
1001060,Type4,Type5,Type5
1001061,Type3,Type3,Type3
1001062,Type6,Type6,Type6
1001063,Type4,Type5,Type6
1001064,Type4,Type5,Type5
1001065,Type4,Type5,Type5
1001066,Type4,Type5,Type5
1001067,Type4,Type5,Type5
1001068,Type1,Type2,Type5
1001069,Type4,Type5,Type5
1001070,Type4,Type3,Type3
1001071,Type4,Type5,Type5
1001072,Type4,Type5,Type5
1001073,Type4,Type3,Type5
1001074,Type4,Type5,Type5
1001075,Type4,Type6,Type5
1001076,Type4,Type5,Type5
1001077,Type1,Type7,Type2
1001078,Type4,Type3,Type4
1001079,Type4,Type5,Type4
1001080,Type4,Type5,Type4
1001081,Type4,Type5,Type4
1001082,Type5,Type2,Type4
1001083,Type2,Type2,Type4
1001084,Type4,Type2,Type4
1001085,Type4,Type5,Type5
1001086,Type4,Type5,Type4
1001087,Type4,Type5,Type5
1001088,Type4,Type3,Type3
1001089,Type4,Type5,Type5
1001090,Type3,Type3,Type3
1001091,Type4,Type5,Type5
1001092,Type4,Type5,Type5
1001093,Type4,Type5,Type5
1001094,Type4,Type5,Type2
1001095,Type7,Type5,Type5
1001096,Type4,Type5,Type5
1001097,Type4,Type5,Type5
1001098,Type4,Type5,Type5
1001099,Type4,Type5,Type5
1001100,Type4,Type5,Type5
1001101,Type3,Type3,Type3
1001102,Type4,Type5,Type5
1001103,Type1,Type5,Type5
1001104,Type4,Type4,Type5
1001105,Type4,Type5,Type5
1001106,Type4,Type3,Type3
1001107,Type3,Type3,Type3
1001108,Type4,Type5,Type5
1001109,Type4,Type5,Type5
1001110,Type4,Type5,Type5
1001111,Type4,Type5,Type5
1001112,Type4,Type5,Type5
1001113,Type4,Type5,Type5
1001114,Type4,Type5,Type5
1001115,Type4,Type5,Type5
1001116,Type4,Type5,Type5
1001117,Type4,Type3,Type3
1001118,Type6,Type6,Type6
1001119,Type2,Type5,Type5
1001120,Type4,Type5,Type5
1001121,Type4,Type6,Type5
1001122,Type4,Type5,Type5
1001123,Type4,Type5,Type5
1001124,Type4,Type5,Type5
1001125,Type6,Type5,Type5
1001126,Type4,Type5,Type5
1001127,Type3,Type3,Type3
1001128,Type4,Type6,Type5
1001129,Type7,Type9,Type5
1001130,Type1,Type5,Type5
1001131,Type9,Type9,Type9
1001132,Type4,Type5,Type5
1001133,Type4,Type5,Type5
1001134,Type3,Type3,Type3
1001135,Type4,Type3,Type3
1001136,Type4,Type5,Type5
1001137,Type4,Type6,Type5
1001138,Type4,Type5,Type6
1001139,Type3,Type3,Type3
1001140,Type4,Type4,Type5
1001141,Type4,Type5,Type5
1001142,Type4,Type5,Type5
1001143,Type2,Type2,Type2
1001144,Type4,Type5,Type5
1001145,Type4,Type5,Type5
1001146,Type4,Type5,Type5
1001147,Type9,Type9,Type9
1001148,Type4,Type5,Type5
1001149,Type3,Type4,Type3
1001150,Type4,Type5,Type5
1001151,Type4,Type5,Type5
1001152,Type4,Type5,Type5
1001153,Type4,Type9,Type5
1001154,Type4,Type5,Type5
1001155,Type4,Type5,Type5
1001156,Type4,Type3,Type3
1001157,Type4,Type5,Type5
1001158,Type4,Type5,Type5
1001159,Type4,Type5,Type5
1001160,Type6,Type6,Type6
1001161,Type4,Type3,Type3
1001162,Type4,Type5,Type6
1001163,Type1,Type2,Type2
1001164,Type3,Type3,Type3
1001165,Type4,Type5,Type5
1001166,Type4,Type5,Type5
1001167,Type4,Type2,Type2
1001168,Type6,Type5,Type6
1001169,Type4,Type5,Type5
1001170,Type4,Type5,Type5
1001171,Type4,Type5,Type5
1001172,Type7,Type5,Type5
1001173,Type4,Type5,Type5
1001174,Type4,Type5,Type5
1001175,Type4,Type5,Type5
1001176,Type3,Type3,Type5
1001177,Type4,Type6,Type6
1001178,Type4,Type5,Type5
1001179,Type3,Type3,Type3
1001180,Type4,Type5,Type5
1001181,Type4,Type3,Type5
1001182,Type7,Type5,Type5
1001183,Type3,Type3,Type3
1001184,Type6,Type5,Type5
1001185,Type4,Type3,Type3
1001186,Type4,Type5,Type5
1001187,Type3,Type3,Type3
1001188,Type4,Type5,Type5
1001189,Type4,Type5,Type5
1001190,Type2,Type2,Type2
1001191,Type4,Type7,Type5
1001192,Type4,Type5,Type5
1001193,Type4,Type3,Type3
1001194,Type9,Type9,Type9
1001195,Type4,Type5,Type5
1001196,Type1,Type2,Type2
1001197,Type9,Type5,Type5
1001198,Type4,Type5,Type5
1001199,Type4,Type6,Type5
1001200,Type4,Type5,Type5
1001201,Type4,Type9,Type5
1001202,Type4,Type3,Type3
1001203,Type3,Type4,Type3
1001204,Type4,Type5,Type5
1001205,Type6,Type6,Type6
1001206,Type4,Type3,Type3
1001207,Type3,Type3,Type3
1001208,Type4,Type5,Type5
1001209,Type4,Type5,Type5
1001210,Type4,Type5,Type5
1001211,Type1,Type2,Type2
1001212,Type4,Type2,Type5
1001213,Type4,Type5,Type5
1001214,Type4,Type5,Type5
1001215,Type4,Type5,Type5
1001216,Type9,Type5,Type9
1001217,Type4,Type5,Type5
1001218,Type4,Type3,Type3
1001219,Type6,Type6,Type6
1001220,Type4,Type5,Type5
1001221,Type4,Type7,Type5
1001222,Type4,Type5,Type5
1001223,Type4,Type2,Type2
1001224,Type4,Type5,Type5
1001225,Type4,Type5,Type5
1001226,Type9,Type5,Type9
1001227,Type3,Type3,Type3
1001228,Type4,Type5,Type5
1001229,Type4,Type5,Type5
1001230,Type1,Type5,Type5
1001231,Type3,Type3,Type3
1001232,Type4,Type5,Type5
1001233,Type4,Type5,Type5
1001234,Type4,Type5,Type5
1001235,Type4,Type5,Type5
1001236,Type4,Type6,Type6
1001237,Type4,Type6,Type5
1001238,Type4,Type5,Type3
1001239,Type2,Type8,Type2
1001240,Type4,Type5,Type5
1001241,Type4,Type5,Type5
1001242,Type4,Type2,Type2
1001243,Type4,Type5,Type5
1001244,Type4,Type5,Type5
1001245,Type4,Type2,Type5
1001246,Type4,Type5,Type5
1001247,Type4,Type5,Type5
1001248,Type4,Type2,Type2
1001249,Type3,Type3,Type3
1001250,Type4,Type5,Type5
1001251,Type4,Type2,Type5
1001252,Type4,Type5,Type5
1001253,Type4,Type5,Type5
1001254,Type4,Type5,Type5
1001255,Type4,Type5,Type2
1001256,Type4,Type5,Type5
1001257,Type4,Type5,Type5
1001258,Type4,Type5,Type5
1001259,Type4,Type5,Type3
1001260,Type6,Type6,Type6
1001261,Type4,Type5,Type5
1001262,Type6,Type6,Type5
1001263,Type4,Type5,Type5
1001264,Type4,Type5,Type5
1001265,Type4,Type5,Type5
1001266,Type4,Type5,Type5
1001267,Type1,Type2,Type5
1001268,Type6,Type6,Type6
1001269,Type4,Type3,Type3
1001270,Type4,Type6,Type5
1001271,Type4,Type5,Type5
1001272,Type4,Type5,Type5
1001273,Type4,Type5,Type5
1001274,Type4,Type5,Type6
1001275,Type4,Type5,Type9
1001276,Type4,Type5,Type5
1001277,Type4,Type5,Type6
1001278,Type4,Type5,Type5
1001279,Type4,Type2,Type2
1001280,Type4,Type3,Type3
1001281,Type2,Type2,Type5
1001282,Type4,Type5,Type5
1001283,Type4,Type5,Type5
1001284,Type1,Type5,Type8
1001285,Type6,Type5,Type6
1001286,Type4,Type5,Type1
1001287,Type4,Type5,Type5
1001288,Type4,Type3,Type3
1001289,Type4,Type5,Type5
1001290,Type4,Type5,Type5
1001291,Type4,Type3,Type3
1001292,Type7,Type5,Type5
1001293,Type4,Type5,Type5
1001294,Type4,Type5,Type5
1001295,Type4,Type5,Type5
1001296,Type4,Type3,Type3
1001297,Type3,Type3,Type3
1001298,Type4,Type5,Type5
1001299,Type4,Type5,Type5
1001300,Type4,Type2,Type2
1001301,Type4,Type5,Type3
1001302,Type4,Type5,Type5
1001303,Type4,Type5,Type5
1001304,Type4,Type5,Type5
1001305,Type4,Type5,Type5
1001306,Type4,Type5,Type5
1001307,Type4,Type5,Type5
1001308,Type4,Type5,Type5
1001309,Type2,Type2,Type2
1001310,Type4,Type5,Type5
1001311,Type4,Type3,Type3
1001312,Type4,Type5,Type5
1001313,Type4,Type5,Type5
1001314,Type1,Type5,Type5
1001315,Type4,Type3,Type3
1001316,Type4,Type5,Type5
1001317,Type4,Type5,Type3
1001318,Type4,Type5,Type5
1001319,Type4,Type5,Type5
1001320,Type4,Type5,Type3
1001321,Type4,Type2,Type5
1001322,Type3,Type3,Type3
1001323,Type6,Type6,Type6
1001324,Type4,Type6,Type5
1001325,Type4,Type5,Type5
1001326,Type3,Type3,Type3
1001327,Type4,Type2,Type2
1001328,Type4,Type5,Type5
1001329,Type3,Type3,Type3
1001330,Type4,Type5,Type5
1001331,Type4,Type5,Type5
1001332,Type4,Type3,Type3
1001333,Type1,Type2,Type2
1001334,Type1,Type2,Type5
1001335,Type4,Type5,Type5
1001336,Type4,Type5,Type5
1001337,Type6,Type6,Type6
1001338,Type2,Type2,Type5
1001339,Type2,Type5,Type5
1001340,Type4,Type5,Type5
1001341,Type4,Type5,Type5
1001342,Type4,Type5,Type5
1001343,Type6,Type6,Type6
1001344,Type4,Type2,Type5
1001345,Type4,Type5,Type5
1001346,Type1,Type2,Type8
1001347,Type3,Type3,Type3
1001348,Type4,Type5,Type5
1001349,Type6,Type6,Type6
1001350,Type4,Type5,Type5
1001351,Type4,Type3,Type3
1001352,Type4,Type3,Type3
1001353,Type2,Type2,Type2
1001354,Type6,Type5,Type5
1001355,Type4,Type5,Type5
1001356,Type3,Type3,Type3
1001357,Type1,Type5,Type1
1001358,Type4,Type5,Type5
1001359,Type4,Type5,Type5
1001360,Type2,Type2,Type2
1001361,Type2,Type2,Type2
1001362,Type4,Type5,Type5
1001363,Type4,Type5,Type5
1001364,Type1,Type5,Type5
1001365,Type2,Type2,Type5
1001366,Type6,Type6,Type6
1001367,Type4,Type5,Type5
1001368,Type4,Type5,Type5
1001369,Type1,Type2,Type5
1001370,Type1,Type5,Type2
1001371,Type4,Type5,Type5
1001372,Type4,Type5,Type5
1001373,Type2,Type2,Type5
1001374,Type4,Type5,Type5
1001375,Type4,Type5,Type5
1001376,Type4,Type5,Type5
1001377,Type4,Type3,Type3
1001378,Type4,Type5,Type5
1001379,Type9,Type9,Type5
1001380,Type4,Type5,Type5
1001381,Type2,Type5,Type5
1001382,Type6,Type4,Type5
1001383,Type2,Type2,Type2
1001384,Type4,Type5,Type5
1001385,Type4,Type5,Type5
1001386,Type4,Type5,Type3
1001387,Type4,Type5,Type5
1001388,Type2,Type2,Type2
1001389,Type6,Type6,Type5
1001390,Type4,Type5,Type5
1001391,Type1,Type2,Type5
1001392,Type4,Type5,Type5
1001393,Type6,Type6,Type6
1001394,Type4,Type3,Type3
1001395,Type2,Type5,Type5
1001396,Type1,Type5,Type5
1001397,Type7,Type5,Type5
1001398,Type9,Type5,Type9
1001399,Type2,Type11,Type8
1001400,Type4,Type4,Type2
1001401,Type4,Type2,Type5
1001402,Type4,Type5,Type5
1001403,Type1,Type5,Type5
1001404,Type4,Type3,Type3
1001405,Type4,Type5,Type5
1001406,Type4,Type5,Type5
1001407,Type4,Type5,Type5
1001408,Type6,Type5,Type5
1001409,Type1,Type5,Type5
1001410,Type1,Type5,Type5
1001411,Type4,Type3,Type3
1001412,Type4,Type5,Type5
1001413,Type4,Type3,Type3
1001414,Type4,Type5,Type5
1001415,Type4,Type5,Type5
1001416,Type4,Type5,Type5
1001417,Type4,Type3,Type3
1001418,Type4,Type5,Type5
1001419,Type2,Type5,Type2
1001420,Type4,Type3,Type3
1001421,Type4,Type5,Type5
1001422,Type4,Type5,Type5
1001423,Type1,Type2,Type5
1001424,Type1,Type2,Type5
1001425,Type4,Type5,Type5
1001426,Type2,Type5,Type5
1001427,Type1,Type2,Type2
1001428,Type6,Type5,Type5
1001429,Type4,Type5,Type5
1001430,Type1,Type5,Type5
1001431,Type4,Type2,Type5
1001432,Type4,Type5,Type5
1001433,Type1,Type2,Type5
1001434,Type4,Type3,Type3
1001435,Type7,Type7,Type5
1001436,Type1,Type2,Type8
1001437,Type4,Type5,Type5
1001438,Type4,Type5,Type5
1001439,Type4,Type5,Type5
1001440,Type2,Type5,Type2
1001441,Type1,Type2,Type5
1001442,Type4,Type5,Type5
1001443,Type4,Type5,Type5
1001444,Type4,Type5,Type5
1001445,Type2,Type2,Type2
1001446,Type4,Type5,Type5
1001447,Type1,Type10,Type5
1001448,Type6,Type6,Type6
1001449,Type4,Type1,Type5
1001450,Type4,Type5,Type5
1001451,Type1,Type5,Type5
1001452,Type6,Type6,Type5
1001453,Type4,Type6,Type5
1001454,Type4,Type5,Type5
1001455,Type4,Type5,Type5
1001456,Type4,Type5,Type5
1001457,Type4,Type5,Type5
1001458,Type2,Type2,Type2
1001459,Type1,Type2,Type5
1001460,Type4,Type5,Type5
1001461,Type6,Type5,Type5
1001462,Type1,Type2,Type5
1001463,Type1,Type2,Type5
1001464,Type4,Type5,Type5
1001465,Type4,Type3,Type3
1001466,Type2,Type2,Type2
1001467,Type6,Type5,Type6
1001468,Type4,Type5,Type4
1001469,Type4,Type5,Type5
1001470,Type1,Type4,Type2
1001471,Type4,Type4,Type5
1001472,Type4,Type6,Type4
1001473,Type3,Type3,Type4
1001474,Type4,Type5,Type4
1001475,Type4,Type5,Type5
1001476,Type4,Type5,Type4
1001477,Type1,Type2,Type5
1001478,Type6,Type6,Type6
1001479,Type4,Type5,Type5
1001480,Type4,Type6,Type6
1001481,Type4,Type5,Type5
1001482,Type4,Type5,Type5
1001483,Type4,Type5,Type5
1001484,Type7,Type5,Type5
1001485,Type1,Type5,Type5
1001486,Type3,Type3,Type3
1001487,Type6,Type6,Type6
1001488,Type4,Type5,Type5
1001489,Type4,Type5,Type5
1001490,Type4,Type5,Type5
1001491,Type4,Type5,Type3
1001492,Type4,Type5,Type5
1001493,Type6,Type6,Type6
1001494,Type4,Type5,Type5
1001495,Type1,Type2,Type2
1001496,Type4,Type5,Type5
1001497,Type1,Type5,Type5
1001498,Type3,Type3,Type3
1001499,Type4,Type5,Type5
1001500,Type4,Type5,Type5
1001501,Type6,Type6,Type5
1001502,Type4,Type5,Type5
1001503,Type7,Type5,Type2
1001504,Type4,Type5,Type5
1001505,Type1,Type2,Type2
1001506,Type3,Type3,Type3
1001507,Type9,Type9,Type5
1001508,Type1,Type2,Type2
1001509,Type6,Type5,Type6
1001510,Type4,Type2,Type5
1001511,Type10,Type5,Type5
1001512,Type1,Type2,Type2
1001513,Type4,Type5,Type5
1001514,Type6,Type6,Type5
1001515,Type3,Type3,Type3
1001516,Type3,Type3,Type3
1001517,Type1,Type2,Type2
1001518,Type4,Type5,Type5
1001519,Type4,Type5,Type5
1001520,Type4,Type5,Type5
1001521,Type6,Type5,Type5
1001522,Type3,Type3,Type5
1001523,Type4,Type5,Type5
1001524,Type3,Type3,Type3
1001525,Type4,Type5,Type5
1001526,Type1,Type2,Type2
1001527,Type3,Type3,Type3
1001528,Type9,Type5,Type5
1001529,Type1,Type2,Type2
1001530,Type4,Type5,Type9
1001531,Type4,Type5,Type5
1001532,Type4,Type5,Type5
1001533,Type6,Type5,Type5
1001534,Type4,Type5,Type5
1001535,Type4,Type5,Type9
1001536,Type3,Type5,Type3
1001537,Type4,Type2,Type5
1001538,Type6,Type6,Type6
1001539,Type4,Type5,Type5
1001540,Type9,Type9,Type5
1001541,Type1,Type2,Type5
1001542,Type9,Type7,Type5
1001543,Type9,Type4,Type5
1001544,Type4,Type5,Type5
1001545,Type4,Type3,Type3
1001546,Type3,Type3,Type3
1001547,Type4,Type7,Type5
1001548,Type7,Type5,Type5
1001549,Type7,Type9,Type5
1001550,Type4,Type5,Type5
1001551,Type1,Type5,Type5
1001552,Type4,Type4,Type5
1001553,Type6,Type6,Type6
1001554,Type4,Type3,Type3
1001555,Type4,Type5,Type5
1001556,Type4,Type5,Type5
1001557,Type4,Type5,Type5
1001558,Type4,Type5,Type5
1001559,Type4,Type5,Type3
1001560,Type4,Type5,Type5
1001561,Type4,Type9,Type5
1001562,Type4,Type5,Type5
1001563,Type4,Type3,Type4
1001564,Type4,Type3,Type3
1001565,Type4,Type5,Type5
1001566,Type4,Type5,Type5
1001567,Type4,Type5,Type5
1001568,Type1,Type2,Type8
1001569,Type4,Type3,Type3
1001570,Type4,Type5,Type5
1001571,Type4,Type3,Type3
1001572,Type4,Type5,Type5
1001573,Type4,Type5,Type5
1001574,Type4,Type5,Type5
1001575,Type1,Type2,Type2
1001576,Type6,Type6,Type5
1001577,Type6,Type6,Type6
1001578,Type9,Type9,Type9
1001579,Type4,Type4,Type5
1001580,Type4,Type5,Type5
1001581,Type4,Type5,Type5
1001582,Type4,Type5,Type5
1001583,Type1,Type2,Type5
1001584,Type4,Type5,Type5
1001585,Type1,Type2,Type5
1001586,Type3,Type3,Type3
1001587,Type4,Type5,Type5
1001588,Type1,Type2,Type5
1001589,Type4,Type3,Type3
1001590,Type4,Type5,Type5
1001591,Type4,Type5,Type5
1001592,Type4,Type5,Type5
1001593,Type4,Type5,Type5
1001594,Type4,Type5,Type5
1001595,Type4,Type3,Type3
1001596,Type6,Type9,Type5
1001597,Type6,Type6,Type5
1001598,Type4,Type5,Type5
1001599,Type4,Type5,Type5
1001600,Type4,Type5,Type3
1001601,Type4,Type5,Type5
1001602,Type1,Type5,Type2
1001603,Type4,Type5,Type5
1001604,Type1,Type2,Type5
1001605,Type6,Type6,Type5
1001606,Type1,Type2,Type2
1001607,Type4,Type5,Type5
1001608,Type4,Type5,Type5
1001609,Type4,Type5,Type5
1001610,Type4,Type5,Type5
1001611,Type4,Type3,Type3
1001612,Type4,Type3,Type3
1001613,Type4,Type5,Type5
1001614,Type1,Type2,Type5
1001615,Type7,Type7,Type5
1001616,Type4,Type5,Type5
1001617,Type4,Type6,Type5
1001618,Type4,Type5,Type5
1001619,Type4,Type3,Type3
1001620,Type4,Type3,Type3
1001621,Type4,Type2,Type5
1001622,Type4,Type5,Type5
1001623,Type9,Type5,Type9
1001624,Type4,Type4,Type5
1001625,Type4,Type5,Type3
1001626,Type4,Type5,Type5
1001627,Type1,Type5,Type5
1001628,Type4,Type5,Type5
1001629,Type1,Type2,Type2
1001630,Type4,Type5,Type5
1001631,Type4,Type5,Type5
1001632,Type4,Type5,Type5
1001633,Type2,Type4,Type5
1001634,Type3,Type3,Type3
1001635,Type6,Type5,Type5
1001636,Type4,Type5,Type5
1001637,Type7,Type7,Type5
1001638,Type4,Type5,Type5
1001639,Type1,Type2,Type5
1001640,Type1,Type2,Type2
1001641,Type6,Type6,Type5
1001642,Type4,Type5,Type5
1001643,Type4,Type5,Type5
1001644,Type4,Type5,Type5
1001645,Type4,Type5,Type5
1001646,Type2,Type2,Type5
1001647,Type4,Type2,Type5
1001648,Type3,Type3,Type3
1001649,Type4,Type5,Type5
1001650,Type4,Type6,Type5
1001651,Type4,Type9,Type5
1001652,Type4,Type5,Type5
1001653,Type4,Type5,Type3
1001654,Type4,Type9,Type5
1001655,Type4,Type5,Type5
1001656,Type4,Type5,Type5
1001657,Type1,Type2,Type5
1001658,Type6,Type6,Type5
1001659,Type4,Type5,Type5
1001660,Type4,Type5,Type3
1001661,Type4,Type5,Type5
1001662,Type4,Type5,Type5
1001663,Type4,Type8,Type5
1001664,Type6,Type6,Type5
1001665,Type4,Type3,Type3
1001666,Type4,Type5,Type5
1001667,Type4,Type5,Type5
1001668,Type1,Type2,Type5
1001669,Type4,Type5,Type5
1001670,Type4,Type6,Type5
1001671,Type4,Type5,Type5
1001672,Type4,Type5,Type3
1001673,Type4,Type3,Type3
1001674,Type1,Type2,Type5
1001675,Type1,Type2,Type8
1001676,Type4,Type5,Type5
1001677,Type4,Type5,Type5
1001678,Type4,Type5,Type5
1001679,Type4,Type2,Type5
1001680,Type4,Type5,Type5
1001681,Type4,Type5,Type5
1001682,Type4,Type5,Type5
1001683,Type4,Type3,Type3
1001684,Type4,Type3,Type3
1001685,Type4,Type5,Type5
1001686,Type4,Type9,Type5
1001687,Type4,Type4,Type5
1001688,Type6,Type6,Type5
1001689,Type2,Type9,Type2
1001690,Type6,Type6,Type6
1001691,Type4,Type5,Type5
1001692,Type4,Type2,Type5
1001693,Type4,Type5,Type5
1001694,Type4,Type5,Type3
1001695,Type4,Type5,Type2
1001696,Type1,Type2,Type2
1001697,Type4,Type5,Type5
1001698,Type4,Type5,Type5
1001699,Type4,Type5,Type5
1001700,Type4,Type3,Type3
1001701,Type4,Type5,Type5
1001702,Type2,Type7,Type5
1001703,Type4,Type5,Type5
1001704,Type4,Type5,Type5
1001705,Type6,Type5,Type6
1001706,Type3,Type3,Type3
1001707,Type7,Type5,Type5
1001708,Type2,Type7,Type5
1001709,Type4,Type3,Type3
1001710,Type4,Type5,Type5
1001711,Type4,Type5,Type5
1001712,Type4,Type5,Type5
1001713,Type4,Type5,Type5
1001714,Type4,Type3,Type3
1001715,Type4,Type3,Type3
1001716,Type7,Type5,Type5
1001717,Type4,Type3,Type3
1001718,Type6,Type6,Type5
1001719,Type4,Type5,Type5
1001720,Type4,Type5,Type5
1001721,Type2,Type2,Type5
1001722,Type4,Type3,Type3
1001723,Type4,Type5,Type5
1001724,Type3,Type3,Type3
1001725,Type4,Type5,Type5
1001726,Type4,Type3,Type3
1001727,Type4,Type5,Type5
1001728,Type4,Type6,Type5
1001729,Type3,Type3,Type3
1001730,Type7,Type7,Type5
1001731,Type1,Type2,Type2
1001732,Type4,Type5,Type5
1001733,Type4,Type3,Type3
1001734,Type1,Type5,Type5
1001735,Type4,Type6,Type5
1001736,Type4,Type13,Type3
1001737,Type6,Type6,Type5
1001738,Type4,Type5,Type5
1001739,Type4,Type5,Type5
1001740,Type4,Type5,Type5
1001741,Type4,Type5,Type5
1001742,Type6,Type6,Type5
